requirement_id,source_url,clause_or_test_id,namespace,element_or_behavior,normative_level,parse,validate,execute,navara_3d,cesium_3d,maplibre_2d,ui_edit,export,fixture_ids,implementation_paths,status,limitation,next_action
KML-STYLE-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.1,http://www.opengis.net/kml/2.2,Style,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.2,http://www.opengis.net/kml/2.2,StyleMap,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-003,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.3,http://www.opengis.net/kml/2.2,IconStyle,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-004,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.4,http://www.opengis.net/kml/2.2,LabelStyle,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-005,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.5,http://www.opengis.net/kml/2.2,LineStyle,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-006,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.6,http://www.opengis.net/kml/2.2,PolyStyle,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-007,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.7,http://www.opengis.net/kml/2.2,BalloonStyle,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-STYLE-008,https://docs.ogc.org/is/12-007r2/12-007r2.html,12.8,http://www.opengis.net/kml/2.2,ListStyle,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/style/,not-started,,Phase 1
KML-CAM-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,14.1,http://www.opengis.net/kml/2.2,Camera,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/view/,not-started,,Phase 1
KML-CAM-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,14.2,http://www.opengis.net/kml/2.2,LookAt,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/view/,not-started,,Phase 1
KML-TIME-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,15.1,http://www.opengis.net/kml/2.2,TimeStamp,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/time/,not-started,,Phase 2
KML-TIME-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,15.2,http://www.opengis.net/kml/2.2,TimeSpan,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/time/,not-started,,Phase 2
KML-NET-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,16.1,http://www.opengis.net/kml/2.2,NetworkLink,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/network/,not-started,,Phase 2
KML-NET-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,16.2,http://www.opengis.net/kml/2.2,NetworkLinkControl,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/network/,not-started,,Phase 2
KML-NET-003,https://docs.ogc.org/is/12-007r2/12-007r2.html,16.3,http://www.opengis.net/kml/2.2,Update,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/network/,not-started,,Phase 2
KML-REGION-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,17.1,http://www.opengis.net/kml/2.2,Region,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/region/,not-started,,Phase 2
KML-OVL-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,18.1,http://www.opengis.net/kml/2.2,GroundOverlay,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/overlay/,not-started,,Phase 2
KML-OVL-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,18.2,http://www.opengis.net/kml/2.2,ScreenOverlay,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/overlay/,not-started,,Phase 2
KML-OVL-003,https://docs.ogc.org/is/12-007r2/12-007r2.html,18.3,http://www.opengis.net/kml/2.2,PhotoOverlay,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/overlay/,not-started,,Phase 3
KML-TOUR-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,19.1,http://www.opengis.net/kml/2.2,Tour,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/tour/,not-started,,Phase 3
KML-TOUR-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,19.2,http://www.opengis.net/kml/2.2,FlyTo,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/tour/,not-started,,Phase 3
KML-TOUR-003,https://docs.ogc.org/is/12-007r2/12-007r2.html,19.3,http://www.opengis.net/kml/2.2,AnimatedUpdate,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/tour/,not-started,,Phase 3
KML-TOUR-004,https://docs.ogc.org/is/12-007r2/12-007r2.html,19.4,http://www.opengis.net/kml/2.2,TourControl,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/tour/,not-started,,Phase 3
KML-TOUR-005,https://docs.ogc.org/is/12-007r2/12-007r2.html,19.5,http://www.opengis.net/kml/2.2,Wait,SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/tour/,not-started,,Phase 3
KML-TOUR-006,https://docs.ogc.org/is/12-007r2/12-007r2.html,19.6,http://www.opengis.net/kml/2.2,SoundCue,SHOULD,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/tour/,not-started,,Phase 3
KML-23-001,https://docs.ogc.org/is/12-007r2/12-007r2.html,B.1,http://www.opengis.net/kml/2.2,altitudeOffset (KML 2.3),SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/,not-started,,Phase 1
KML-23-002,https://docs.ogc.org/is/12-007r2/12-007r2.html,B.2,http://www.opengis.net/kml/2.2,seaFloorAltitudeMode (KML 2.3),SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/,not-started,,Phase 1
KML-KMZ-001,https://developers.google.com/kml/documentation/kmzarchives,,http://www.opengis.net/kml/2.2,KMZ (ZIP archive),SHALL,not-started,not-started,not-started,not-started,not-started,not-started,not-started,not-started,,src/kml/kmz/,not-started,,Phase 1
